,speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,learned_cats
5864,JoseAntonio,a,956,1612,2683,490.0,82.0,110.0,-207.0,-100.0,-110.0,-299.0,sp,ids,2
5865,JoseAntonio,i,567,2214,2657,30.0,-66.0,-523.0,-59.0,-14.0,134.0,496.0,sp,ids,3
5866,JoseAntonio,a,727,1730,1840,90.0,-182.0,104.0,86.0,98.0,-27.0,-267.0,sp,ids,2
5870,JoseAntonio,i,338,1336,2623,110.0,9.0,145.0,75.0,-0.08,38.0,48.0,sp,ids,0
5871,JoseAntonio,a,973,1623,2098,70.0,148.0,469.0,1007.0,83.0,216.0,132.0,sp,ids,2
5872,JoseAntonio,i,513,1311,2210,30.0,-21.0,-65.0,51.0,-5.0,-99.0,-468.0,sp,ids,0
5873,JoseAntonio,a,555,1132,2130,210.0,23.0,47.0,663.0,22.0,-474.0,91.0,sp,ids,2
5874,JoseAntonio,i,388,1882,2663,40.0,-37.0,74.0,28.0,1.0,-13.0,-141.0,sp,ids,3
5875,JoseAntonio,a,423,1032,2796,170.0,124.0,452.0,-340.0,-511.0,-863.0,-111.0,sp,ids,0
5876,JoseAntonio,a,950,1745,2798,46.521,-19.0,13.0,108.0,-12.0,-2.0,-139.0,sp,ids,2
5877,JoseAntonio,a,943,1620,2066,83.739,-71.0,116.0,474.0,-23.0,50.0,-439.0,sp,ids,2
5879,JoseAntonio,a,576,2145,2670,74.434,22.0,-199.0,69.0,47.0,237.0,50.0,sp,ids,3
5885,JoseAntonio,a,808,1661,2773,70.0,3.0,269.0,199.0,134.0,351.0,61.0,sp,ids,2
5887,JoseAntonio,i,542,2713,3999,89.942,-105.0,271.0,155.0,-125.0,244.0,526.0,sp,ids,3
5888,JoseAntonio,a,833,1749,2729,58.927,-31.0,80.0,19.0,78.0,-123.0,-32.0,sp,ids,2
5889,JoseAntonio,i,582,2380,2984,72.108,-124.0,-1814.0,-417.0,50.0,62.0,-602.0,sp,ids,3
5890,JoseAntonio,a,588,2218,3079,71.333,56.0,-303.0,-47.0,145.0,196.0,-64.0,sp,ids,3
5891,JoseAntonio,i,436,862,2886,90.717,17.0,1968.0,153.0,-124.0,-1501.0,-503.0,sp,ids,0
5893,JoseAntonio,a,933,1452,2651,350.0,-48.0,-40.0,125.0,-17.0,-47.0,330.0,sp,ids,2
5894,JoseAntonio,a,791,1474,2831,130.0,37.0,-227.0,210.0,-256.0,78.0,-372.0,sp,ids,2
5897,JoseAntonio,a,821,1331,2670,120.0,-10.0,99.0,-394.0,168.0,366.0,-59.0,sp,ids,2
5898,JoseAntonio,a,948,1480,2567,80.0,-118.0,-189.0,-114.0,331.0,369.0,866.0,sp,ids,2
5900,JoseAntonio,a,962,1526,2340,210.0,28.0,-69.0,3.0,163.0,222.0,-156.0,sp,ids,2
