speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register
s01,ih,476,2139,3357,68.705,-8,-143,-45,-14,-70,-53,en,ads
s01,eh,550,2222,3374,73.229,24,40,-94,-8,74,75,en,ads
s01,ah,659,2139,3192,48.819,-69,9,128,-58,38,24,en,ads
s01,eh,693,2043,2745,51.531,31,43,394,283,496,362,en,ads
s01,iy,566,2488,3387,103.861,86,-278,-107,169,-61,64,en,ads
s01,iy,540,2501,3132,88.676,-63,189,199,210,351,460,en,ads
s01,ah,539,1950,3322,72.55,-125,-642,-285,132,99,416,en,ads
s01,ah,777,1674,3191,105.774,-20,20,100,99,-1,77,en,ads
s01,eh,868,2257,3259,88.823,79,-137,-85,-400,57,1,en,ads
s01,eh,719,1939,3007,53.483,50,97,26,228,127,56,en,ads
