,speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,z_f1,z_f2,learned_cats
143,HS10,a,719,1669,3311,60.0,-79.0,-43.0,-11,70.0,-95.0,-164.0,sp,ads,1.4185827629349668,-0.2270848884541411,4
144,HS10,e,428,2317,3119,60.0,-181.0,-165.0,-525,-17.0,225.0,236.0,sp,ads,-0.6815485062763081,1.1005974182010567,2
145,HS10,e,462,2096,2897,90.0,26.0,69.0,-33,49.0,215.0,-135.0,sp,ads,-0.4361723442378774,0.6477921870732809,2
146,HS10,a,622,1697,2257,60.0,7.0,-55.0,404,46.0,65.0,-667.0,sp,ads,0.7185390065312085,-0.1697158998949658,2
147,HS10,u,216,855,2602,30.0,10.0,-60.0,-94,13.0,-387.0,-86.0,sp,ads,-2.211541046045347,-1.894883341567306,3
148,HS10,e,544,2143,3036,60.0,4.0,72.0,245,10.0,5.0,2.0,sp,ads,0.1556172230312791,0.7440901321547535,2
149,HS10,e,526,1979,2967,110.0,31.0,90.0,-145,149.0,76.0,-116.0,sp,ads,0.0257121960697569,0.4080717705938702,2
150,HS10,e,335,1494,2866,42.83,131.0,225.0,95,122.0,154.0,57.0,sp,ads,-1.3527244789108392,-0.5856410669489861,1
151,HS10,e,578,2097,2915,50.0,-37.0,-205.0,-188,-4.0,-38.0,-116.0,sp,ads,0.4009933850697098,0.6498410795218228,2
152,HS10,e,530,1890,3109,30.0,28.0,44.0,130,145.0,-42.0,5.0,sp,ads,0.054579979838984,0.2257203426736346,1
153,HS10,e,460,1938,3114,50.0,-2.0,-18.0,-150,192.0,89.0,23.0,sp,ads,-0.4506062361224909,0.3240671802036493,2
154,HS10,i,369,2312,2903,50.0,-0.7,-62.0,42,33.0,113.0,-474.0,sp,ads,-1.1073483168724083,1.0903529559583467,2
155,HS10,o,501,1010,2464,39.213,-18.0,97.0,27,70.0,95.0,-74.0,sp,ads,-0.1547114524879127,-1.5773050120433003,3
156,HS10,a,690,1614,3070,70.0,-29.0,-208.0,-9,64.0,-165.0,-183.0,sp,ads,1.20929133060807,-0.3397739731239495,2
157,HS10,i,391,2294,2699,40.0,-5.0,22.0,108,15.0,328.0,66.0,sp,ads,-0.9485755061416592,1.0534728918845913,0
158,HS10,e,536,1896,2828,76.744,-81.0,-294.0,-247,10.0,-148.0,-85.0,sp,ads,0.0978816554928248,0.2380136973648865,2
159,HS10,a,732,1744,3026,150.0,5.0,-18.0,51,142.0,-23.0,-26.0,sp,ads,1.512403060184955,-0.0734179548134932,4
160,HS10,i,320,2562,3434,67.03,26.0,48.0,-540,54.0,151.0,-120.0,sp,ads,-1.460978668045441,1.6025760680938397,2
161,HS10,a,828,1841,3095,117.231,-65.0,10.0,4,71.0,33.0,18.0,sp,ads,2.205229870646406,0.125324612695078,4
162,HS10,e,576,2217,3006,43.418,-9.0,148.0,-1,32.0,-110.0,321.0,sp,ads,0.3865594931850962,0.8957081733468595,2
163,HS10,a,717,1740,3139,70.0,7.0,17.0,123,157.0,4.0,-17.0,sp,ads,1.4041488710503531,-0.0816135246076611,4
164,HS10,u,356,1183,2995,40.0,-104.0,129.0,-357,13.0,47.0,38.0,sp,ads,-1.2011686141223967,-1.222846618445539,3
165,HS10,a,757,1639,3168,230.802,47.0,6.0,-44,531.0,452.0,992.0,sp,ads,1.6928267087426243,-0.2885516619104002,2
166,HS10,e,576,2160,2912,200.261,-40.0,116.0,47,75.0,193.0,-46.0,sp,ads,0.3865594931850962,0.778921303779967,2
167,HS10,i,404,2567,2951,110.0,-17.0,-128.0,-54,-42.0,10.0,-7.0,sp,ads,-0.854755208891671,1.6128205303365497,2
168,HS10,a,787,1894,2928,88.85,-175.0,173.0,1,-9.0,137.0,14.0,sp,ads,1.909335087011828,0.2339159124678025,4
169,HS10,a,617,1981,3226,78.075,10.0,-170.0,41,34.0,10.0,-202.0,sp,ads,0.6824542768196745,0.4121695554909541,2
170,HS10,e,582,2282,3134,59.568,21.0,216.0,4,12.0,81.0,-410.0,sp,ads,0.429861168838937,1.0288861825020876,2
171,HS10,a,762,1688,3248,68.632,-34.0,4.0,57,14.0,5.0,-83.0,sp,ads,1.7289114384541586,-0.1881559319318436,4
172,HS10,o,510,1313,2461,80.0,16.0,-60.0,-416,-31.0,-1530.0,-1658.0,sp,ads,-0.0897589390071516,-0.956490600135083,3
173,HS10,e,579,2077,2860,240.0,-91.0,301.0,62,34.0,-138.0,-56.0,sp,ads,0.4082103310120166,0.6088632305509835,2
